title,author,journal,date,link,new_article,new_citation,related,subject
A State-Switching Digital LDO for PWM Thermo-Optic Tuning in Silicon Photonics,"Z Xie, T Ye, Z Dang, X Xiao, M Tan",IEEE Transactions on Circuits and Systems II …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11124547/,,,,silicon photonics
High-Speed Lithium Tantalate-Based Silicon Photonic Modulators,"M Niels, T Vanackere, E Vissers, T Zhai, P Nenezic…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111408/,,,,silicon photonics
Amplification in a Hybrid Erbium Silicon Photonic Waveguide,"B Hashemi, BLS Frare, NM Taleghani…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109360/,,,,silicon photonics
First Experimental Observation of Edge Bound State in the Continuum on Silicon Photonic Crystal,"R Sato, CV Bertelsen, M Nikitin, EL Aymerich…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109220/,,,,silicon photonics
Low Threshold 1.55-μm-Band Si-Photonics-Based Heterogeneous Integrated Quantum Dot Tunable Laser,"A Matsumoto, S Nakajima, CH Cheng, S Okada…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110093/,,,,silicon photonics
Silicon Photonic MEMS Chip for Photothermal Spectroscopy Gas Sensing,"A Mahrous, M Erfan, JP Waclawek, A Mostafa, N Pavy…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110331/,,,,silicon photonics
Generation of Hyperentangled Photon Pairs in the Frequency-Bin and Time-Bin Domains with a Silicon Photonic Chip,"S Congia, M Borghi, FA Sabattoli, H El Dirani…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109958/,,,,silicon photonics
Rapid Tuning of Optical Delay Lines via Optical Phase Amplification in a Silicon Photonic Four-Wave Mixing Interferometer,"Y Zhang, H Zhang, Z Zhang, Z Zhang, HK Tsang…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111325/,,,,silicon photonics
Miniature Mid-IR Spectrometer Based on a Ge-Si Photonic Integrated Circuit and a Linear Detector Array for Trace Gas Detection,"F Łabaj, J Kalwas, S Stopiński, K Anders, R Ciechański…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109563/,,,,silicon photonics
Laser-Inscribed Flexible Bragg Gratings Containing Silicon Oxynitride Doped Silicon Thin Film for Authentication Applications and Their Electronic and Structural …,"A Karatutlu, TE Tabaru, U Taylan, ZG Mutlay…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109723/,,,,silicon photonics
